timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2024-01-01 00:00:00.000,0.223521,1.136877,5.850726,0.267891,1.761185,-0.035856
2024-01-01 00:00:00.010,-0.011305,1.554721,6.120832,0.416981,0.689161,0.01764
2024-01-01 00:00:00.020,0.394504,1.73006,6.005495,0.257065,1.222503,0.067651
2024-01-01 00:00:00.030,0.842418,2.644959,6.258062,-0.556211,1.306746,0.314005
2024-01-01 00:00:00.040,0.108501,2.10465,6.50003,0.110258,1.304734,-0.083894
2024-01-01 00:00:00.050,0.169342,1.337752,7.124916,-0.199043,1.334027,-0.083178
2024-01-01 00:00:00.060,1.051719,2.054059,6.674123,0.175097,1.450178,0.462911
2024-01-01 00:00:00.070,0.760117,1.226221,6.204247,0.629274,1.183947,0.063259
2024-01-01 00:00:00.080,0.286534,2.261532,7.767793,0.433,1.021671,-0.111886
2024-01-01 00:00:00.090,0.836374,1.621154,7.021536,0.767568,0.956539,0.107302
2024-01-01 00:00:00.100,0.491469,1.751154,7.696274,0.524455,0.828664,0.170512
2024-01-01 00:00:00.110,0.613181,2.295815,8.277016,-0.010947,1.256897,0.665908
2024-01-01 00:00:00.120,1.070339,1.225428,8.520737,-0.400729,0.688888,0.532187
2024-01-01 00:00:00.130,0.255185,1.154182,9.367588,0.571182,1.141126,0.611317
2024-01-01 00:00:00.140,0.509554,1.450298,9.481923,0.48114,0.776989,0.552503
2024-01-01 00:00:00.150,1.214782,2.067804,9.242852,0.250341,0.509836,0.606731
2024-01-01 00:00:00.160,1.202639,1.011471,11.187197,0.032609,0.827376,0.220372
2024-01-01 00:00:00.170,1.993756,0.451188,10.59519,0.405482,0.27209,0.364501
2024-01-01 00:00:00.180,1.634664,1.366552,10.781911,0.628598,0.663335,0.18794
2024-01-01 00:00:00.190,1.588631,1.728845,11.635028,0.962931,0.425613,0.403549
2024-01-01 00:00:00.200,3.047349,1.947601,11.499822,0.828234,0.05197,0.647409
2024-01-01 00:00:00.210,2.425793,1.239841,11.709362,1.356473,0.353998,0.529677
2024-01-01 00:00:00.220,2.667533,1.216457,12.795702,0.461685,0.267773,0.842962
2024-01-01 00:00:00.230,2.071709,1.796876,11.354902,1.162039,0.388728,0.248188
2024-01-01 00:00:00.240,2.507249,0.540125,11.182604,0.898733,0.228954,0.676421
2024-01-01 00:00:00.250,2.805072,1.083794,11.163245,1.152778,-0.029528,0.256452
2024-01-01 00:00:00.260,2.205732,1.265086,11.331266,0.783253,-0.687452,0.608565
2024-01-01 00:00:00.270,2.830796,1.31691,9.67574,1.336402,0.474274,0.785904
2024-01-01 00:00:00.280,2.304484,0.880259,9.040432,1.088784,-0.962121,0.562284
2024-01-01 00:00:00.290,2.337977,1.043634,9.302791,0.770625,-0.224507,0.768051
2024-01-01 00:00:00.300,2.081209,-0.021018,8.348844,1.026004,-0.489058,0.40395
2024-01-01 00:00:00.310,3.063187,0.654317,8.534587,0.966929,-1.131185,0.240811
2024-01-01 00:00:00.320,2.102249,1.041236,8.603841,1.241303,-0.840558,0.808064
2024-01-01 00:00:00.330,1.517005,0.408112,7.54663,0.675219,-0.89766,1.116091
2024-01-01 00:00:00.340,2.257549,0.764873,6.957927,1.09463,-0.482066,0.441553
2024-01-01 00:00:00.350,1.24472,0.8594,7.428218,1.258714,-1.253157,1.005771
2024-01-01 00:00:00.360,1.808304,0.482198,7.590125,1.146042,-1.154905,0.719908
2024-01-01 00:00:00.370,0.766373,0.625235,6.11781,1.618697,-1.935541,0.383119
2024-01-01 00:00:00.380,0.997463,0.10913,7.219481,1.4296,-0.560148,0.441306
2024-01-01 00:00:00.390,1.642381,0.348166,7.095233,1.166127,-1.585851,0.734412
2024-01-01 00:00:00.400,1.854814,0.610975,7.069077,1.253256,-1.134905,0.634769
2024-01-01 00:00:00.410,1.576576,0.365321,7.130055,1.288173,-1.317039,0.412203
2024-01-01 00:00:00.420,1.43081,0.003205,7.569319,1.331718,-1.342,0.320592
2024-01-01 00:00:00.430,1.3355,0.262507,6.25238,0.556045,-1.04421,0.535211
2024-01-01 00:00:00.440,0.797078,0.393464,6.458442,1.092539,-0.756396,0.797248
2024-01-01 00:00:00.450,1.131924,-0.777685,6.176912,0.680149,-1.26064,0.748214
2024-01-01 00:00:00.460,1.243025,0.440542,6.373564,1.64731,-1.120324,0.624635
